arm		Arm
body 		Körper
ear		Ohr
eyes		Augen
eye		Auge
face		Gesicht
foot		Fuß
finger		Finger
hair		Haare
hand		Hand
head		Kopf
leg		Bein
mouth		Mund
neck		Genick
nose		Nase
stomach		Bauch
tooth		Zahn
teeth		Zähne
ankle		Fessel
back 		Hinterseite
bladder		Harnblase
blood		Blut
bone		Knochen
brain		Gehirn
calf		Wade
cheek		Backe
chest		Brust
chin		Kinn
dimple		Grübchen
elbow		Ellbogen
eyebrow 	Augenbraue
eyelash		Wimper
eyelid		Augenlid
features	Kenndaten
fist		Faust
forehead	Stirn
freckle		Fleckchen
heart		Herz
hip		Angesagt
jaw		Kiefer
kidney		Niere
knee		Knie
liver		Leber
lung		Lunge
muscle 		Muskel
shoulder	Schutter
skeleton	Gerippe
skin		Haut
thigh		Oberschenkel
thumb		Daumen
throat		Hals
tongue		Zunge
vein		Stil
waist		Taille
wrist		Hangelenk
ambitious	Ambitioniert
annoying	ärgerlich
argumentative	streitsüchtig
bad-tempered	unleidlich
big-headed 	dünkelhaft
brave		Mautig
cantankerous 	zänkisch
carefree	sorgenfrei
careless	nachlässig
cautious	vorsichtig
charming 	entzückend
cheerful	fröhlich
conceited	eingebildet
conservative	zurückhaltend
conventional	normal
cowardly 	feig
crazy	verrückt
cruel	grausam
dull langweilig
flirtatious	kokett
friendly	freundlich
generous	freigebig
hard-working	fleißig
honest		ehrlich
kind		art
laid-back	locker
lazy		perezoso
loyal		loyal
modest		bescheiden
moody		launisch
